years_of_experience,rating,completion_rate,total_trips,completed_trips,region_familiarity,on_time_delivery_rate,avg_speed_kmh,accidents_last_3_years,license_type,night_shift_capable,last_medical_check_months,training_courses_completed,avg_trip_distance_km,score
1,3.6,0.802,96,76,1,0.73,53.2,2,A,0,19,2,89,60.08
9,4.2,1,228,228,0,0.948,79.1,0,B,1,3,5,157.3,75.46
1,3.1,0.805,28,22,1,0.803,48.8,1,C,1,35,3,77,55.67
5,4.3,0.822,111,91,0,0.808,69.9,1,A,0,29,6,157.4,63.4
4,4.2,0.867,127,110,0,0.768,90.6,1,B,1,11,4,93.9,58.91
11,4.3,0.961,240,230,1,1,81,1,B,1,6,7,209.6,100
1,2.6,0.786,46,36,0,0.752,44.6,5,B,0,19,2,129.8,35.51
3,4,0.766,109,83,1,0.719,71.7,0,C,0,27,1,117.5,69.72
11,4.2,0.904,212,191,0,0.96,91.3,0,B,0,5,8,158.6,86.07
9,4.6,0.947,238,225,1,0.915,69,0,A,0,26,7,126.9,95.35
8,3.4,0.802,169,135,1,0.842,73.4,1,B,1,35,7,84.2,87.21
2,3.8,0.795,110,87,1,0.711,57.5,1,B,0,19,2,112.2,66.67
1,2.8,0.843,79,66,0,0.752,61,1,A,1,17,1,54.7,44.06
6,4.2,0.857,151,129,0,0.828,66,0,B,1,35,4,98.9,65.77
10,4.4,1,217,217,1,0.971,85.2,0,C,0,13,7,176.5,97.15
5,3.4,0.761,153,116,1,0.835,92.4,0,B,1,14,5,107.1,83.46
5,3.6,0.8,112,89,1,0.817,73.2,2,B,0,30,6,126.5,77.95
2,3.7,0.692,96,66,1,0.731,49.5,1,B,1,17,4,109.8,60.4
7,4.1,0.975,187,182,0,0.868,105.9,0,B,0,15,5,184.1,79.71
2,3.7,0.76,88,66,1,0.798,75,1,A,0,18,3,102,62.55
3,4.3,0.722,100,72,1,0.704,78.9,1,B,0,14,2,87.5,65.99
4,3,0.804,103,82,0,0.708,70.2,1,C,1,14,3,109.7,51.02
4,4.3,0.765,150,114,0,0.724,73.8,1,B,1,33,5,94.7,58.63
2,3.5,0.777,92,71,0,0.796,63.9,4,B,0,11,4,152.4,40.29
1,3,0.796,64,50,0,0.755,77.3,1,A,0,11,1,99.2,43.19
6,3.4,0.902,144,129,1,0.92,68.3,0,C,0,26,5,145.5,81.77
2,3.4,0.799,66,52,0,0.685,73.9,2,B,1,3,2,136.6,45.52
5,4.2,0.849,119,101,1,0.937,84.1,2,B,0,25,6,94.6,76.99
1,3.3,0.765,97,74,0,0.708,81.5,0,B,0,17,3,45.2,43.54
4,4.3,0.759,99,75,1,0.687,83.4,1,A,0,22,4,111.3,71.74
5,3.2,0.756,151,114,1,0.902,60.2,3,C,1,29,4,77.3,72.91
0,3.2,0.762,56,42,0,0.638,83.9,1,B,0,26,1,67.7,35.39
3,3.1,0.825,89,73,0,0.757,77.5,1,A,1,34,1,38.6,46.82
1,3.5,0.772,86,66,1,0.714,70.2,2,C,1,26,1,47.4,58.83
0,3.6,0.69,75,51,1,0.704,70.1,3,A,0,9,2,116.7,48.25
11,4.3,0.94,235,220,1,0.917,79.6,0,C,1,11,9,180.1,95.2
3,2.5,0.902,60,54,1,0.852,63.9,1,B,1,7,1,157.9,65.28
8,4.2,0.883,166,146,1,0.923,72.6,0,C,1,30,6,143.1,89.07
2,3.6,0.778,87,67,0,0.746,83.5,0,A,0,2,3,93.9,50.54
6,4.1,0.859,145,124,1,0.908,75,1,B,1,30,3,134.5,76.82
7,4.5,0.82,165,135,1,0.845,78.9,0,A,1,4,5,243.7,86.46
5,3.4,0.79,145,114,0,0.789,73.2,1,C,1,14,3,151.6,61.35
4,3.9,0.857,94,80,1,0.905,63,2,C,1,13,4,86.8,75.22
4,4.1,0.884,148,130,0,0.828,45.2,0,C,0,25,3,124.2,63.59
3,2.8,0.814,88,71,1,0.724,78.7,3,C,0,13,4,108.6,58.82
10,4.5,0.818,228,186,1,0.86,88,0,C,0,13,6,181.6,91.65
8,3.9,0.907,201,182,1,0.894,76.9,2,C,1,6,6,200.2,83.9
11,4.5,1,212,212,1,0.855,68.4,0,C,1,26,7,185.6,94.43
1,3.5,0.781,74,57,0,0.696,88.3,2,A,0,14,2,76.9,45.14
7,3.8,0.867,179,155,1,0.857,71.4,1,C,1,8,5,191.9,82.89
10,4.1,0.873,195,170,1,0.91,83,0,C,1,24,7,120.8,88.53
2,3.5,0.831,106,88,0,0.698,59.6,1,A,1,22,1,87.9,48.57
0,2.8,0.746,62,46,1,0.676,48.8,5,B,0,21,3,107,52.07
7,3.6,0.927,166,153,1,0.939,82.6,1,C,1,26,5,112.3,92.41
5,4.1,0.815,127,103,1,0.859,54.5,0,A,0,10,5,118.4,83.89
9,3.8,0.92,213,195,0,0.919,81.2,1,B,1,13,6,131,73.08
1,3.6,0.791,35,27,0,0.727,69.3,2,A,0,14,3,86.8,38.88
8,4.3,0.967,188,181,1,0.902,63.6,0,B,1,9,6,123,90.31
2,2.7,0.828,108,89,1,0.772,52.4,0,A,1,7,2,98.4,67.41
1,3,0.863,64,55,1,0.757,57.3,3,A,0,31,1,78.1,51.34
1,3.8,0.799,41,32,0,0.749,59,2,A,0,16,0,127.8,44.75
8,3.8,0.881,167,147,0,0.91,58.6,0,C,0,8,7,155.6,73.94
6,3.7,0.86,170,146,1,0.782,60.5,1,B,1,15,4,150.1,84.06
5,4,0.81,117,94,1,0.793,73.4,1,B,0,25,6,124.3,76.56
3,3.9,0.847,112,94,1,0.794,93.4,1,B,1,15,2,91,74.91
9,4.2,0.868,231,200,0,0.851,90.6,0,A,1,25,7,162,77.76
3,3.3,0.827,70,57,0,0.744,71.4,4,C,1,7,4,110.1,49.77
8,4.7,0.932,172,160,1,0.889,90.5,0,C,1,26,6,71.4,93.24
4,4.4,0.914,110,100,0,0.813,84.9,2,B,0,8,5,113,60.21
3,3.9,0.829,111,92,0,0.789,65.8,0,B,1,18,3,124.2,61.74
4,3.7,0.878,84,73,0,0.769,74.1,0,C,1,21,3,90.5,64.67
3,3.2,0.858,76,65,1,0.835,81.2,0,B,1,16,3,130,66.65
7,3.7,0.856,187,160,1,0.85,88.9,0,A,0,3,6,146.7,88.2
4,3.9,0.94,81,76,1,0.837,84.5,0,B,0,1,3,100.1,79.34
2,3.6,0.778,66,51,0,0.726,55.7,1,C,0,13,4,112.3,49.4
9,4.8,0.907,196,177,1,0.923,92.6,0,B,1,32,7,140.9,98.2
3,3.8,0.894,112,100,0,0.881,91.8,1,B,0,12,1,112.3,55.33
5,3.2,0.92,107,98,1,0.823,90.4,2,A,1,31,3,112.2,75.93
10,4.8,0.917,213,195,1,0.905,67,0,B,1,2,8,176.5,95.25
6,3.5,0.911,115,104,1,0.816,58,0,C,1,8,5,168.4,76.24
1,3.2,0.782,80,62,0,0.725,72.1,1,A,0,25,2,74.9,39.7
10,4.5,0.892,186,165,0,0.921,97.7,0,C,1,5,9,187.1,80.08
6,4.7,0.801,187,149,1,0.827,76.7,0,B,1,2,4,119,89.98
3,4.8,0.857,86,73,1,0.81,66.7,1,A,0,3,1,95.3,77.12
1,3.6,0.835,24,20,0,0.761,65.4,2,B,0,22,0,76.1,40.54
8,4.1,0.861,155,133,1,0.878,89.2,0,C,1,33,7,93.4,86.57
6,4.1,0.875,138,120,1,0.944,70.1,1,A,1,32,5,143,78.84
5,4.1,0.981,110,107,1,0.895,78.3,1,B,0,17,5,128.5,83.26
9,4.1,0.96,189,181,1,0.872,76.9,0,C,1,18,6,156.9,91.65
8,4.9,0.844,188,158,0,0.796,66.3,0,A,1,3,5,190.6,80.87
1,3.4,0.844,82,69,0,0.712,54.9,1,C,0,6,0,137.9,45.31
3,3.8,0.776,131,101,0,0.77,75.8,1,A,0,13,2,143.2,53.13
2,3.7,0.663,72,47,1,0.671,40,1,A,1,31,1,88.9,58.48
7,4.2,0.874,145,126,0,0.833,81.3,1,C,1,17,7,127.4,71.26
0,3.5,0.858,17,14,1,0.734,63,3,A,0,21,2,49.5,44.6
5,3.5,0.918,99,90,0,0.824,83.9,0,C,0,16,5,121.9,66.09
7,3.8,0.894,205,183,1,0.768,82.7,1,B,1,17,4,136.2,83.4
9,3.8,0.876,240,210,1,0.955,79,0,A,1,32,7,168.2,92.54
3,3.7,0.845,110,92,0,0.825,56.7,1,C,0,1,4,71.9,59.89
8,4.5,0.876,189,165,1,0.819,64.8,0,C,0,8,5,132.8,95
1,3.5,0.768,75,57,1,0.726,58.8,1,B,0,1,3,37.2,66.54
9,4.9,0.956,216,206,1,0.87,88.9,0,B,1,2,7,130.5,96.71
1,3.3,0.767,37,28,0,0.693,87.7,3,A,0,24,3,114.8,30.54
3,3.8,0.877,65,57,0,0.817,73.5,0,C,1,27,3,71,58.53
8,3.7,0.859,188,161,1,0.919,69.9,0,C,1,20,4,196.3,91.52
1,3.2,0.897,50,44,1,0.802,60.7,3,A,0,21,1,118.3,54.34
2,3.7,0.725,72,52,1,0.741,62.7,0,B,1,35,2,111,57.77
7,4.4,0.828,145,120,1,0.914,88,1,B,0,15,6,176,89.78
7,3.9,0.868,200,173,1,0.832,70,1,B,1,30,6,132.4,83.72
6,3.9,0.763,177,135,1,0.794,73.5,0,C,0,4,4,105.9,78.17
7,3.4,0.747,134,100,1,0.697,91.6,2,A,1,15,7,133.1,77.08
5,3.6,0.749,105,78,0,0.786,65.7,4,A,0,23,6,68.4,54.37
2,3.8,0.793,66,52,0,0.778,74.7,3,A,0,15,4,131.7,44.84
3,3.8,0.808,119,96,1,0.786,80.3,2,B,1,26,2,93.5,66.16
2,3.6,0.824,77,63,1,0.727,68.8,2,A,1,12,1,73.3,64.64
10,4.4,0.907,207,187,1,0.971,103.4,0,C,1,18,8,140.8,98.03
5,3.8,0.863,134,115,0,0.821,92.5,1,C,0,6,5,120.5,69.84
3,3.3,0.798,81,64,0,0.807,72.7,3,A,1,18,2,107.6,43.23
4,4,0.87,92,80,0,0.833,61.4,1,C,0,24,2,107.6,62.35
10,4.6,0.946,245,231,1,1,70.9,0,C,1,28,7,155.5,95.11
1,3.5,0.777,90,69,1,0.743,69.1,2,A,0,15,3,104.5,60.75
5,3.6,0.875,125,109,1,0.859,59.4,0,A,0,19,6,87,84.48
4,2.8,0.825,129,106,0,0.791,74.2,3,A,1,5,4,118.8,51.48
6,4.3,0.786,137,107,0,0.795,94.3,1,B,0,4,5,118.5,66.75
0,3,0.825,48,39,0,0.747,65.7,1,C,0,17,2,20.1,38.11
9,3.9,0.857,178,152,1,0.971,78.3,1,C,1,10,7,119.5,85.33
10,4.7,0.961,193,185,1,0.914,90.2,0,C,1,12,9,136.2,94.46
5,3.6,0.864,106,91,0,0.813,78.8,0,C,0,5,6,170.1,65.88
7,4.5,0.871,199,173,0,0.865,61.7,0,B,1,7,4,149.6,73.95
10,4.6,0.823,238,195,1,0.938,74.5,0,C,1,23,8,168.1,91.83
7,4.3,0.952,184,175,1,0.905,98.2,0,A,0,2,5,121.4,89.56
1,2.8,0.775,50,38,0,0.771,70.4,4,A,0,30,0,72.6,38.02
5,4.3,0.88,150,132,1,0.929,60.4,1,C,0,5,3,84.5,81.75
6,4,0.856,181,154,0,0.809,71.7,0,B,0,20,6,118.2,66.22
4,3.5,0.821,134,110,1,0.825,49.6,1,B,0,26,4,153.3,73.31
7,4.1,0.885,205,181,1,0.884,53.2,0,C,1,6,4,96.5,89.76
10,3.7,0.918,226,207,1,0.933,91.8,0,C,0,29,8,142.4,93.29
10,4.5,0.903,222,200,1,0.958,79.9,0,B,1,10,9,187.8,96.85
4,3.3,0.832,144,119,0,0.784,77.2,0,B,0,16,2,139.7,61.61
1,2.8,0.815,75,61,1,0.754,80.4,0,B,0,34,0,66.4,60.47
11,3.9,0.955,235,224,1,0.896,85.6,0,C,1,31,7,202.9,84.85
8,4.6,0.891,219,195,1,0.861,85.8,1,B,1,5,7,131,91.06
1,3.1,0.825,78,64,1,0.793,69.6,6,C,0,33,1,53.5,54.13
10,5,0.895,256,229,1,0.976,95.4,0,C,0,19,9,204.9,100
9,4,1,217,217,1,0.952,99.8,0,C,1,32,6,154.8,94.12
5,3.1,0.922,168,154,1,0.82,74.9,1,C,1,23,6,115,75.81
5,3.3,0.886,137,121,0,0.873,74.4,0,C,0,3,6,125.2,63.49
3,4,0.724,73,52,1,0.809,73.3,0,A,0,1,1,74.9,68.4
0,3.1,0.81,42,34,1,0.697,63.7,3,A,0,28,1,63.1,46.37
3,3.3,0.804,73,58,0,0.698,64.7,2,C,1,5,2,147.1,54.58
8,4.2,0.84,153,128,1,0.895,89.6,0,C,1,13,5,199.8,90.29
0,3.4,0.762,58,44,1,0.749,60.2,1,B,0,11,0,46.6,58.07
3,4,0.778,109,84,1,0.792,64,1,B,0,22,3,92.3,71.72
3,4.1,0.846,68,57,0,0.862,80.3,1,C,0,23,4,104.1,57.41
5,3.6,0.929,106,98,1,0.923,84.2,1,A,1,12,4,126,76.42
10,3.9,0.958,188,180,1,0.929,108,0,C,0,21,9,131.5,96.75
3,3.4,0.959,76,72,0,0.827,84.1,4,B,0,19,1,123.5,49.04
3,3.7,0.743,94,69,1,0.728,79.4,2,C,0,5,4,125.8,70.35
7,3.6,0.85,155,131,1,0.806,87.2,1,B,1,24,4,161.5,82.71
4,3.3,0.787,112,88,1,0.736,69.2,2,C,0,30,4,134.6,72.86
2,3.6,0.869,107,92,0,0.808,74.7,1,A,0,8,2,98.4,55.28
4,3.7,0.824,85,70,0,0.81,78.3,1,C,0,2,2,141.7,56.24
1,3.3,0.803,83,66,0,0.779,60,2,C,0,34,3,104.3,47.42
1,3,0.825,75,61,1,0.867,65.9,1,B,0,23,0,43.5,59.49
4,3.6,0.762,94,71,1,0.801,82.4,1,C,0,3,2,67.7,72.03
4,3.3,0.803,119,95,0,0.749,70.8,1,A,1,24,4,121.3,56.44
10,4.7,0.966,219,211,0,0.998,87.3,0,C,1,18,7,198.6,79.15
3,4,0.794,121,96,0,0.727,80.3,0,C,1,31,1,117.4,56.21
5,3.1,0.762,98,74,1,0.882,82.7,1,A,0,14,3,137.6,73.83
6,3.5,0.817,153,125,0,0.731,94.8,2,C,1,1,6,96.2,65.3
0,2.6,0.766,49,37,0,0.677,58,4,B,0,14,0,82,25.43
6,3.6,0.87,162,140,1,0.876,93.7,1,B,1,5,3,162.3,81.31
1,3.3,0.79,50,39,1,0.789,72.2,4,A,0,31,1,101.4,52.53
11,3.9,0.899,244,219,1,0.911,91.5,0,C,1,31,7,171.1,86.04
1,2.9,0.841,91,76,0,0.703,74.9,1,A,0,30,3,105.8,47.49
4,3.3,0.828,77,63,0,0.804,78.8,1,C,0,1,2,118.8,60.12
1,3.4,0.804,61,49,1,0.83,58.9,3,B,0,3,0,123.2,60
11,4.5,0.902,219,197,1,0.869,91.1,0,C,0,20,6,174.8,85.37
4,3.4,0.91,111,101,0,0.805,53.7,4,B,0,21,4,111.1,55.5
5,3.9,0.829,140,116,1,0.828,97.6,3,C,1,30,5,88.6,71.04
0,3,0.784,46,36,0,0.67,69.6,4,B,0,30,3,116.4,32.49
7,3.9,0.927,169,156,0,0.84,89.4,0,B,1,5,6,107.8,72.69
2,4.1,0.821,89,73,0,0.746,76.2,3,B,0,10,4,103.1,42.3
9,4.8,0.915,228,208,1,0.928,78.9,0,C,0,24,5,176,87.34
2,2.9,0.709,78,55,1,0.714,61.5,1,A,1,6,3,149.7,60.44
2,3.8,0.841,63,52,1,0.837,59.2,1,B,1,10,2,102.8,66.53
0,3.5,0.783,26,20,0,0.74,74.4,4,C,0,10,2,121.7,35.12
4,3.2,0.862,80,68,1,0.825,79.7,2,A,0,25,2,112.8,62.97
5,4.1,0.857,143,122,1,0.874,79.2,2,C,1,14,4,103.2,76.09
0,3.8,0.752,63,47,1,0.721,63.6,1,A,0,13,3,163,62.79
8,3.7,0.934,221,206,0,0.878,82,1,B,1,11,4,107.5,70.8
4,3.3,0.844,144,121,0,0.788,65.9,2,A,1,11,3,199.6,53.88
5,4.2,0.784,165,129,0,0.745,64.3,0,A,0,16,5,168.9,69.34
4,3.8,0.9,78,70,1,0.918,67.7,3,A,1,33,5,94.8,68.66
3,3.8,0.749,107,80,1,0.801,66.7,0,A,1,32,3,123.5,72.51
5,3.9,0.893,125,111,1,0.706,90.1,1,B,1,10,4,78.1,79.64
1,3.5,0.868,62,53,0,0.82,50.1,2,A,1,15,1,105.8,41.64
2,2.9,0.752,88,66,1,0.664,67.6,1,B,0,16,1,105.7,56.78
9,4.7,0.897,217,194,1,0.934,86.1,0,C,0,27,8,178,90.18
10,4.8,0.906,227,205,1,0.818,103.8,0,C,1,32,9,147.9,91.03
3,3.5,0.812,113,91,0,0.752,62.2,0,B,1,6,2,108.8,59.12
2,3.4,0.899,89,80,0,0.848,54.6,1,C,1,8,1,110.3,49.53
6,3.3,0.807,169,136,1,0.896,82.7,0,A,1,25,4,113.3,79.67
3,3.8,0.806,73,58,0,0.787,71.5,1,A,0,7,2,146.2,52.16
0,3.4,0.855,31,26,0,0.771,62.4,0,A,0,17,3,83.9,45.37
1,3.3,0.777,90,69,0,0.656,71.8,1,C,1,30,2,98.3,40.03
7,4.5,0.829,194,160,1,0.878,85.8,0,C,1,2,6,111,93.14
6,3.8,0.875,142,124,1,0.889,82.8,1,C,1,17,6,78.5,86.47
0,3.4,0.82,40,32,1,0.849,68.6,1,A,0,4,0,39.6,56.62
2,3,0.788,107,84,1,0.717,83.8,1,B,1,26,4,113.9,56.78
2,3.4,0.835,89,74,0,0.763,70.4,1,A,1,14,1,72.3,46.96
6,3.8,0.793,167,132,0,0.826,74.5,0,B,0,8,6,149.9,69.21
0,3.3,0.714,60,42,1,0.724,73.6,0,B,0,5,0,129.6,57.9
1,3.2,0.772,90,69,1,0.769,51.4,2,A,1,5,1,111.1,57.33
8,4.1,0.919,192,176,1,0.949,84.4,1,A,1,5,5,156.8,92.97
1,3.6,0.832,53,44,1,0.792,62.9,3,B,0,27,0,107.7,53.01
6,3.7,0.803,170,136,0,0.751,58,2,B,0,5,6,161.1,65.86
2,2.8,0.843,93,78,1,0.634,73.1,4,A,0,3,2,105.4,57.99
1,4,0.802,45,36,0,0.708,61,2,B,0,30,3,107.9,41.54
2,4,0.763,68,51,1,0.738,48.6,2,C,0,1,3,79,65.4
7,3.5,0.809,146,118,1,0.814,65,0,B,1,8,5,106.7,84.07
9,4.5,0.914,203,185,1,0.89,98.8,0,A,1,13,8,136.8,96.77
8,3.9,0.954,169,161,1,0.89,70.3,3,B,1,20,7,134.2,93.14
3,3.7,0.823,75,61,1,0.805,73.4,0,B,0,6,3,93,68.33
6,4,0.815,149,121,0,0.777,61,0,A,0,8,6,162.4,71.64
2,3.3,0.714,59,42,1,0.722,93.2,0,A,0,30,1,20,62.79
2,3.1,0.884,70,61,0,0.773,68.8,0,B,0,15,2,89.6,56.23
9,4,0.955,211,201,1,0.953,70.3,1,C,1,10,5,174.3,92.3
0,2.8,0.795,22,17,0,0.772,75.6,5,A,1,33,2,101.2,36.55
1,3,0.868,84,72,0,0.838,91.1,1,B,0,9,0,63.4,43.2
2,3.4,0.818,76,62,1,0.719,63.1,2,C,0,33,4,148.2,57.26
0,2.9,0.753,56,42,1,0.601,56.6,1,C,0,9,2,38.5,50.41
2,3.7,0.835,59,49,0,0.75,95.5,1,B,1,14,3,85.5,49.16
5,4.4,0.807,138,111,1,0.729,71,0,B,0,32,3,110.7,83.91
4,3.4,0.785,83,65,1,0.92,68.2,1,C,0,6,4,102.4,76.09
9,4.4,0.941,210,197,1,0.877,52.8,0,C,1,5,5,192.8,91.86
8,4.3,0.932,216,201,1,0.928,76.6,0,C,1,4,4,144.5,92.05
3,3.7,0.757,92,69,1,0.803,53.2,1,A,1,16,1,113.6,63.36
2,3.5,0.745,106,78,1,0.752,61.3,3,A,0,10,3,122.4,60.59
3,3.9,0.799,127,101,0,0.873,45.3,0,C,1,31,3,84.8,58.25
5,4,0.813,149,121,1,0.8,87.3,1,C,0,31,4,115.4,76.45
2,2.9,0.831,50,41,1,0.719,50.4,0,B,1,14,1,146.3,65.36
6,4.3,0.864,154,133,1,0.799,50.7,0,C,0,13,3,139.3,85.54
3,3.9,0.879,99,87,0,0.831,58.6,3,C,1,4,1,71.2,48.25
5,3.5,0.864,163,140,1,0.816,87.5,0,B,0,26,3,94.3,70.39
4,3.7,0.802,86,68,1,0.744,65.7,1,B,0,24,2,138.8,71.21
2,3.7,0.713,50,35,0,0.747,64.3,2,B,0,9,1,62.1,44.3
10,4.3,0.925,244,225,1,0.97,85.7,0,C,1,35,6,145.8,93.02
7,4.5,0.79,181,142,0,0.853,73.7,1,C,0,15,5,142.1,71.2
1,4.3,0.761,43,32,0,0.766,81.4,4,B,0,24,1,88.4,37.54
9,3.9,0.867,174,150,1,0.903,75.6,0,C,0,31,8,196.5,89.54
4,3.1,0.809,141,114,1,0.761,68.3,4,C,1,19,2,38.5,64.65
9,4.4,0.837,196,164,1,0.93,105.7,0,A,0,2,5,166.5,91.74
8,4.4,0.853,197,168,1,0.832,77.7,2,A,0,2,5,135.5,89.41
4,3.6,0.892,85,75,1,0.759,73.8,1,C,1,34,3,151.5,69.4
0,3.8,0.837,21,17,1,0.784,62.5,2,A,1,19,0,72.9,50.2
2,2.9,0.884,109,96,1,0.759,40,0,B,0,23,1,89.8,70.85
5,4.1,0.849,152,129,1,0.904,83,4,A,1,16,4,119.9,72.79
6,3.7,0.875,169,147,1,0.889,93.9,1,B,0,6,4,108.2,84.83
2,4.1,0.865,102,88,0,0.75,83.1,1,A,0,26,4,78.3,61.09
1,4.1,0.72,74,53,1,0.733,59.8,2,A,1,22,3,83.5,63.94
8,3.8,0.929,209,194,1,1,74.9,0,A,1,24,4,193.3,91.8
11,4.3,0.995,242,240,1,1,85.7,0,C,1,21,7,153.3,93.86
5,4.1,0.804,132,106,0,0.836,76.3,0,B,0,30,6,99.4,68.72
1,3.2,0.863,65,56,1,0.722,74.7,2,C,0,11,0,76,57.15
2,3.4,0.91,103,93,0,0.877,70.4,2,C,1,9,4,96.1,56.79
0,3.2,0.819,23,18,1,0.787,60.7,4,C,1,12,3,133.8,52.57
10,3.6,0.946,234,221,0,0.911,81.6,0,C,1,26,9,137.1,77.07
1,3.3,0.738,55,40,1,0.809,78.5,2,C,1,3,2,163,56.76
5,3.5,0.902,107,96,1,0.845,107.5,2,A,0,33,3,133.6,71.99
2,3.2,0.756,102,77,0,0.696,62,1,A,1,15,4,66,48.69
5,4.4,0.867,137,118,0,0.796,75.2,0,C,0,5,3,103.6,68.57
6,3.4,0.885,161,142,0,0.893,69.6,0,A,1,24,3,69.9,65.41
8,4.5,0.724,184,133,1,0.796,80.7,0,C,0,11,5,147.2,90.01
2,3.3,0.828,50,41,0,0.705,79.7,2,B,1,33,1,127.5,45.5
0,3.1,0.911,10,9,1,0.726,62.5,2,B,0,23,3,80.9,52.98
1,3.6,0.689,79,54,0,0.685,41.9,3,A,0,10,0,112.1,36.88
10,4.5,0.914,185,169,1,0.897,92.3,0,C,1,28,7,172.9,84.56
9,4.5,0.805,237,190,1,0.857,80.1,0,C,1,17,7,188.3,95.13
5,4.2,0.803,152,122,1,0.853,68.4,4,C,0,26,5,90.6,73.89
6,3.8,0.765,133,101,1,0.826,67.2,0,B,1,25,4,154.5,81.5
6,3.7,0.87,168,146,0,0.819,77.7,0,A,1,12,6,184.6,70.37
1,2.9,0.833,42,34,0,0.722,58.1,3,A,0,3,3,165,40.06
10,4.1,0.937,238,223,1,0.931,73.1,0,B,0,29,9,202.6,95.07
4,4.9,0.788,101,79,0,0.78,56,1,A,0,24,2,117.1,63.34
3,4.1,0.79,86,67,1,0.763,61.3,1,A,1,19,3,75,71.59
5,3.3,0.862,99,85,1,0.869,80.1,0,B,0,13,6,95.5,69.31
0,2.7,0.735,25,18,1,0.705,48.4,4,B,0,16,2,74.8,47.2
1,3.5,0.727,40,29,0,0.723,80.3,1,B,0,27,1,143.8,41.94
7,4.2,0.863,177,152,1,0.933,61.4,1,B,0,6,6,120.1,86.28
1,3.5,0.746,92,68,1,0.811,68.3,1,B,0,10,3,93.4,63.67
6,3.8,0.882,169,149,1,0.787,79.8,0,C,1,8,5,156.2,83.84
2,3.4,0.872,59,51,1,0.694,77.9,1,B,0,18,2,20,61.27
3,3.7,0.951,123,116,0,0.797,79.4,1,B,1,32,3,72.1,61.04
2,3.5,0.824,43,35,0,0.798,67,2,B,1,17,1,154.6,45.48
3,2.7,0.853,100,85,1,0.804,67.4,0,A,0,2,2,135.3,69.73
7,3.9,0.845,151,127,1,0.908,82.7,1,B,0,20,4,167.5,77.34
2,3.1,0.78,80,62,0,0.726,71.3,2,B,1,10,1,67.8,50.53
5,3.9,0.912,161,146,1,0.742,68.4,2,B,1,9,6,163.5,71.96
4,4.9,0.821,101,82,0,0.726,75.5,0,C,0,25,5,87.5,65.97
6,4.1,0.865,167,144,1,0.872,72,1,B,0,25,4,130.7,83.77
10,4.3,0.978,236,230,0,1,72.8,0,C,1,24,9,180.8,84.97
7,4.4,0.862,174,149,1,0.766,71,0,C,1,6,6,161,85.94
2,3.6,0.882,96,84,1,0.846,73.8,4,A,0,30,2,110.8,60.03
0,3.4,0.809,59,47,0,0.741,53.9,4,C,1,10,3,74,40.77
2,3.7,0.83,110,91,1,0.757,81.3,2,A,0,31,4,40.6,67.15
5,4.6,0.816,167,136,1,0.779,65.8,0,C,1,18,5,122.5,87.98
0,2.7,0.805,70,56,0,0.796,40,0,A,0,33,0,20,44.15
4,3.9,0.813,95,77,0,0.836,77.6,0,B,0,19,4,129,59.57
5,3.4,0.872,101,88,0,0.852,40.1,0,C,1,23,3,90.6,61.93
3,3.8,0.816,121,98,1,0.738,57.4,1,C,0,5,4,99.2,73.64
8,3.8,0.937,190,178,1,0.982,106.1,0,B,0,26,4,128.7,85.08
1,3.2,0.792,64,50,0,0.732,79.2,4,C,0,29,0,105,39.11
0,3.1,0.882,63,55,0,0.755,76.7,1,B,0,24,3,56.3,44.8
7,4.4,0.862,150,129,0,0.865,62.1,2,A,1,6,5,143.7,67.02
4,4,0.808,149,120,1,0.752,68.8,0,B,1,4,4,117.5,77.27
6,3.4,0.879,129,113,1,0.864,88.9,1,B,1,26,6,130,73.97
4,3.7,0.888,103,91,1,0.849,78.7,3,B,0,15,4,123.8,73.15
2,3.2,0.861,87,74,0,0.748,81.6,3,C,1,13,3,59.9,46.65
8,3.6,0.897,150,134,1,0.901,98.4,1,C,0,22,4,109,81.59
8,4.1,0.906,211,191,1,0.895,84.9,1,C,0,13,7,187,86.41
7,3.9,0.892,192,171,1,0.916,60.7,0,C,0,17,5,89.8,86.06
2,4.4,0.753,59,44,0,0.722,75.2,3,A,0,25,3,161,47.85
5,4,0.899,111,99,1,0.847,69.7,0,A,0,34,5,115.9,82.81
3,3,0.758,127,96,0,0.779,54,2,C,0,21,2,78.5,46.48
1,3.1,0.74,61,45,0,0.699,77.2,0,C,0,25,2,113.8,42.02
10,4.8,0.919,255,234,1,0.891,94.4,0,B,1,25,9,143.1,95.38
1,4.2,0.778,61,47,1,0.693,65.4,2,A,1,22,1,98.1,56.48
11,3.9,0.97,238,230,1,0.986,85.3,1,C,1,23,9,205.3,89.37
4,2.9,0.857,116,99,0,0.793,46.1,0,A,1,25,3,133.4,59.91
2,4.2,0.814,85,69,1,0.743,81.5,2,A,0,14,3,108.8,61.85
5,3.9,0.792,98,77,1,0.834,82,0,C,1,14,4,139.6,77.61
9,3.9,0.904,191,172,1,0.961,81.5,0,C,1,26,8,153.2,90.75
7,4.2,0.873,199,173,1,0.924,60.5,1,C,1,30,5,160.3,85.16
8,3.1,0.9,178,160,1,0.86,57.3,1,C,0,26,6,111.8,84.79
6,3.9,0.84,180,151,1,0.882,98.3,1,B,0,22,3,171.8,82.04
